,s_id,i_id
0,8329529683,4111
1,7565052691,4111
2,6062848269,111
3,2044753058,11
4,9399080550,11
5,1956733122,1
6,6784586397,4111
7,2836188891,111
8,9661525234,11
9,7011056048,111
10,1403307026,4111
11,3094379911,4111
12,3277833107,11
13,9767317756,11
14,8845476062,1
15,8485181162,4111
16,5230422497,11
17,2596919545,1
18,9270584694,1
19,9506638635,111
20,3011968561,4111
21,9146756326,11
22,7929840125,111
23,1153994789,111
24,4522560888,1
25,6282520247,1
26,2931319048,4111
27,5862045538,11
28,4595535158,1
29,2537947732,111
30,9093446514,11
31,3753617069,4111
32,5704949902,111
33,5683594071,1
34,7356641560,4111
35,2983510665,111
36,6845805968,111
37,4598874675,1
38,1339534638,111
39,7163992357,1
40,3010078027,11
41,4031132394,1
42,4588413427,1
43,4266031654,111
44,904838446,1
45,9940764453,111
46,8302095439,11
47,2487113272,1
48,9546706945,1
49,9350942704,1
50,5278757930,1
51,7597823538,1
52,4802101890,1
53,2572120532,4111
54,7142243219,1
55,3738730159,4111
56,9339940309,1
57,4283521391,111
58,6400952804,4111
59,4247369093,1
60,6000583701,111
61,3920142731,11
62,1819903075,111
63,8913494076,4111
64,7550975677,11
65,1958861703,1
66,6367194652,11
67,3813704124,1
68,6895075444,4111
69,9683840904,1
70,864655441,11
71,127418337,4111
72,4057043944,111
73,3819208326,1
74,9681949449,4111
75,9185132337,111
76,9308484415,111
77,6602707395,111
78,5241200142,1
79,1506115552,1
80,6770369443,111
81,5977200725,1
82,2756515444,11
83,1359828962,11
84,3237553399,11
85,2571403340,11
86,6716664199,111
87,1930807182,11
88,8919369298,1
89,4832095989,4111
90,4101620475,4111
91,320965112,1
92,3990444705,4111
93,144051731,111
94,9035187411,111
95,1155229101,1
96,1958923003,4111
97,4754123902,1
98,719281894,111
99,2551721289,4111
100,5771338801,11
101,5179759425,111
102,2406049400,111
103,5522148911,4111
104,3772227376,1
105,1106735984,111
106,1307331896,4111
107,4178456406,111
108,2912584011,111
109,2578574610,111
110,6822597434,111
111,915010078,111
112,9835700546,4111
113,4474428947,11
114,6544372539,4111
115,5115802987,4111
116,176617080,4111
117,2835285568,11
118,790414291,1
119,2883724367,111
120,6669188096,1
121,1036077988,11
122,8256579170,11
123,9050517378,11
124,1247200066,11
125,6163679829,111
126,6501221059,11
127,4005587918,4111
128,6113067307,1
129,8832491259,1
130,5965547815,4111
131,2823897377,11
132,9127076417,111
133,1074921401,1
134,3921402689,4111
135,6099209663,11
136,2412224739,111
137,2108767315,4111
138,6051277677,111
139,476087639,11
140,5571874414,11
141,8217969724,111
142,8413233270,1
143,857802864,4111
144,8777184478,1
145,5918588425,4111
146,9312882805,11
147,8688865633,11
148,1863215576,111
149,6122747705,4111
150,2460206631,4111
151,1476744908,4111
152,508803942,11
153,4340002675,1
154,6549838186,11
155,9553407991,1
156,5822172799,11
157,6185414549,11
158,8448491121,1
159,42707881,4111
160,6739156657,4111
161,2099432190,1
162,2838982071,111
163,5825383193,4111
164,118820589,1
165,7276798640,1
166,2845740775,111
167,1844322668,11
168,6963558174,4111
169,5323886684,4111
170,2298324840,11
171,4109465327,1
172,1939709817,4111
173,6569465419,11
174,6068532089,1
175,7726030355,1
176,3335963821,4111
177,1050990532,1
178,873879963,111
179,9541579228,1
180,739896938,4111
181,814471797,1
182,3046219182,1
183,7420996202,1
184,1128389576,11
185,4170675992,4111
186,335288943,111
187,6608314970,111
188,4445875413,111
189,1077379173,111
190,4702191012,11
191,2992992139,111
192,5494274984,11
193,2080131521,111
194,9681729547,111
195,6184358575,1
196,8653279722,111
197,9045326264,11
198,2863827376,4111
199,6826942184,4111
200,9645409517,11
201,9007611758,4111
202,7374277728,4111
203,6458532083,4111
204,9662921936,4111
205,5585441461,1
206,6989944505,1
207,4424095999,4111
208,4772102907,1
209,4462204878,111
210,8297929459,111
211,6942101861,111
212,3056776593,4111
213,8417821190,4111
214,2735247678,1
215,1522187591,11
216,4194641825,11
217,143978954,11
218,1046112911,11
219,6886488305,11
220,7999985744,4111
221,6720481730,1
222,7639337770,1
223,9317763589,111
224,4132802602,4111
225,5544471004,111
226,4903429951,111
227,1157799538,11
228,758906628,11
229,3565233775,11
230,8924177912,1
231,2347479677,111
232,5990052515,11
233,5522413194,11
234,1666855971,111
235,2850685417,111
236,5459555119,1
237,7519461446,111
238,9691934467,111
239,9072962340,11
240,4747238141,4111
241,4496936864,111
242,3023153127,111
243,4980021453,1
244,5983096469,1
245,8333081754,11
246,3175963665,1
247,6642743368,11
248,318246177,1
249,2925796749,4111
250,4694189608,111
251,5401115082,4111
252,4428740237,111
253,4332437775,111
254,7970490763,111
255,7798346413,111
256,4280490716,111
257,9113958687,4111
258,7097108487,111
259,7760849885,111
260,2287293312,1
261,6073021633,1
262,168779579,1
263,9377184991,4111
264,3486174389,4111
265,3694838718,11
266,7565644360,111
267,216329427,111
268,8828109538,4111
269,8575166804,111
270,207248565,11
271,1852836020,1
272,8224265448,4111
273,8235819017,11
274,9965241939,11
275,5500379949,111
276,480731302,11
277,3164985384,4111
278,7060654082,4111
279,6051823125,11
280,6088577785,111
281,7057741874,1
282,6117374337,111
283,5167045202,1
284,9765342531,11
285,8447784750,111
286,6461889662,111
287,5819001341,1
288,692798450,1
289,1644869723,11
290,3293588523,111
291,9766860806,4111
292,5543487626,11
293,6034661596,11
294,2653170461,1
295,4774106939,11
296,2694916275,11
297,6071506222,11
298,7480855862,11
299,3801870958,4111
300,352089701,4111
301,3964718937,1
302,3363316842,4111
303,6426306972,111
304,9969453758,1
305,5838003383,1
306,6206680167,1
307,2369213231,11
308,3584346757,11
309,465179583,1
310,6646045600,11
311,4130215758,4111
312,3035433369,11
313,6395393499,1
314,1627512029,4111
315,4219907588,111
316,5920721773,11
317,1516984084,11
318,9336313189,1
319,3179583513,1
320,1631442073,1
321,9542122276,4111
322,3654041723,111
323,6610984457,11
324,190244312,1
325,4332007138,1
326,6905934225,111
327,3492347933,111
328,2511655050,4111
329,551304718,11
330,1698696588,4111
331,6014379047,11
332,2602055111,1
333,836541686,111
334,3937722557,111
335,8445558188,11
336,337350781,1
337,9217583461,1
338,4552550462,111
339,3173575192,11
340,6853673918,1
341,1380428123,4111
342,5863160839,1
343,1346566867,4111
344,494606634,4111
345,2033181798,11
346,1768183061,111
347,7019098513,11
348,928465484,1
349,7952785145,1
350,6005768631,111
351,176124958,1
352,9373950300,111
353,2851649840,1
354,1411056258,4111
355,2428117114,111
356,4063437573,4111
357,3158657338,1
358,9340002954,111
359,6865363217,111
360,511173324,111
361,3608680309,4111
362,2586901750,1
363,6297410678,4111
364,4000486534,4111
365,8064130621,11
366,9068750305,111
367,3768417415,11
368,3308658722,11
369,4400986851,11
370,9827503440,4111
371,1878382663,111
372,4031074208,111
373,6531450306,4111
374,6769991381,4111
375,8188419021,111
376,6997513390,4111
377,8588535205,11
378,8385133958,11
379,527050651,11
380,2027117145,1
381,9047246716,1
382,2515556071,4111
383,9413204670,111
384,1069543820,11
385,6453047441,111
386,7612216561,11
387,1792466606,11
388,8783327231,1
389,5727069139,1
390,5530779151,11
391,6934395188,111
392,2781890825,11
393,8337025417,1
394,4207103957,11
395,9198852734,111
396,1670851335,1
397,4271660900,1
398,758721191,111
399,2215107905,1
400,1410702943,111
401,6702202729,4111
402,2833495000,11
403,2515093787,1
404,2316247763,111
405,286244916,4111
406,5482036909,111
407,3910994191,1
408,3464590150,1
409,421546610,4111
410,2592618278,4111
411,2178670583,11
412,6877823591,111
413,4528392961,4111
414,7873753499,4111
415,6353145488,11
416,4686397835,111
417,3213257838,4111
418,652468187,11
419,2985564182,11
420,5406723922,4111
421,9526945874,111
422,3337295122,4111
423,4106450919,111
424,8436081066,11
425,9550325608,1
426,3650573960,11
427,3738934947,1
428,1624371443,1
429,7348853824,4111
430,5887790557,111
431,9110233523,1
432,5736802694,111
433,1823267538,11
434,2903627601,111
435,4378344979,11
436,4311460469,11
437,2731443985,111
438,3988899140,111
439,210874672,11
440,6411741448,1
441,1586934934,4111
442,7367383989,11
443,2094859563,11
444,5150712989,111
445,9982372626,4111
446,4410866521,1
447,2384749338,1
448,9989957870,111
449,2974585871,11
450,4326931313,1
451,5570610601,11
452,5732460702,111
453,7930148956,111
454,9256726032,111
455,3094519214,11
456,9153338089,11
457,8630366807,4111
458,3882462967,111
459,4752954075,11
460,9412160510,11
461,1166113849,11
462,1981012101,1
463,5530761982,1
464,5529535774,111
465,2107939413,1
466,1518434859,11
467,3448008946,11
468,426951170,111
469,3253226265,11
470,6480894196,1
471,7804258758,111
472,5189135660,111
473,4864915156,111
474,1315465504,11
475,1392204458,111
476,1618195969,1
477,6576455217,111
478,6247071547,4111
479,3886386727,1
480,5812041268,4111
481,5099203954,111
482,1266371365,11
483,5957724218,11
484,1491977597,1
485,7416736919,4111
